ADL model	SCORM (Sharable Content Object Referenc Model)
Entitet	Ne-digitalni oblik
e-ucenje	Sustav Za Upravljanje Procesom Ucenja
e-ucenje	Proces poucavanja
e-ucenje	Obrazovanje
e-ucenje	Proces ucenja
e-ucenje	Oblikovanje
e-ucenje	Odabir
e-ucenje	Isporuka
e-ucenje	Administriranje i proširenje ucenja
e-ucenje	Eng. termin eLearning
e-ucenje	Prikupljanje i upotreba znanja
e-ucenje	Upotrebu elektronickih urecaja
e-ucenje	Moduli ucenja
e-ucenje	Tecaji
e-ucenje	Objekti ucenja
e-ucenje	Primjene i procesi
e-ucenje	Isporuka sadržaja
e-ucenje	CD-ROM
e-ucenje	DVD
e-ucenje	Internet
e-ucenje	Interaktivna televizija
e-ucenje	Raspoloživi mediji
e-ucenje	Objekti e-ucenja
e-ucenje	Asinkrono ucenje
e-ucenje	Okvire e-ucenja
e-ucenje	Sinkrono ucenje
Ucionice Licem U Lice	Izleti
Ucionice Licem U Lice	Laboratorij
Ucionice Licem U Lice	Fizicka Ucionica
Flickr	Kategorizacija Slika
Flickr	Pretraživanje Slika
Flickr	Dodavanje Metapodataka
Formalno Ucenje	Škola
Formati	Istraživanja
Formati	Vježbe na internetu
Formati	Mailing liste
Formati	Forumi za online diskusije
Formati	Web stranice
Formati	e-mail
Formati	Blogovi
Formati	Web dokumenti
Formati	Testovi
Forum	Sudionike/Akteri
Forum	Ocjenjivanje Poruka
Forum	Slanje Poruka
Forum	Dodavanje Priloga
Globalni dogacaj	Privremeni prekid rada
Graficka Datoteka	Video
Graficka Datoteka	Slike
Granula znanja	Objekt ucenja
Grupni dogacaji	Predaja radova
Individualizirano ucenje	Uspješnije obavljanje vježbi i postizanje boljih rezultata
Individualizirano ucenje	Scenarij ucenja koji istice individualnost (onoliko koliko uceniku treba)
Informacijska i komunikacijska tehnologija	Informacijska tehnologija
Informacijska i komunikacijska tehnologija	Komunikacijska tehnologija
Informacijska tehnologija	Racunalo
institucija	servis poucenika
institucija	administrativni poslovi
institucija	akademski poslovi
Interaktivna televizija	On-line ucenje
Interaktivna televizija	Individualizirano ucenje
Interaktivna televizija	Interaktivno ucenje
Internet	E-ucenje
Internet	Slanje istovremenih poruka
Internet	RSS
Internet	Virtualna zajednica
Internet	VoIP
Internet	E-pošta
Internet	World Wide Web
Internet	Intranet
Internet	Pet R pravih uvjeta
Internet	On-line ucenje
Internet	Individualizirano ucenje
Internet	Interaktivno ucenje
Internet	Isporuka sadržaja
Internet	Video prikaz
Internet	Animacija
Internet	Prikupljanje informacija
Internet Obrazovanje	Teoreticar
Internet Obrazovanje	Internet
Internet Obrazovanje	WWW
Intranet	Ekstranet
Isporuka sadržaja	Obuka
Isporuka sadržaja	Ucenje
Isporuka sadržaja	Obrazovni program
Isprintani dokumenti	Teksta
Izgled	oblikovanje stranica
Izgled	test upotrebljivosti
Izgled	navigacija
Izgled	oblikovanje sadržaja
Izlazna jedinica	Ekran osjetljiv na dodir
Izlazna jedinica	Zaslon
Izlazna jedinica	Pisac
Izlazna jedinica	Projektor
Izlazna jedinica	Prikaz podakata
Izrada Zadatka	Opis Zadatka
Izrada Zadatka	Ocjena Zadatka
Izrada Zadatka	Naziv Zadatka
Jay Cross	Origins Of Elearning
Jay Cross	Neformalno Ucenje
Jednosmjerna Komunikacija	Ucenik
Jednostavna sintaksa	Jednostavno korištenje
Jednostavna sintaksa	Jednostavno modificiranje
Jednostavna sintaksa	Jednostavno održavanje
Jednostavne aplikacije	Aplikacije za snimanje aktivnosti na ekranu
Jednostavni Oblici Nastavnog Sadržaja	Web Dokumenata
Jednostavni Oblici Nastavnog Sadržaja	Mapa
Jednostavni Oblici Nastavnog Sadržaja	Datoteka
Jednostavni Oblici Nastavnog Sadržaja	Linkova
Kalendar	Dogacaji
Khan	Okvire e-ucenja
Klasicna Ucionica	Field Trips
Klasicna Ucionica	Fizicka Ucionica
Klasicna Ucionica	Learning Lab
Kolegij	Programiranje1
Kolegij	Sustavi E-Ucenja
Kolegij	Spa
Kolegij	Programiranje2
Kompleksne aplikacije	Aplikacije koje koriste video klipove
Kompleksne aplikacije	Aplikacije koje koriste audio naraciju
Kompleksne aplikacije	Aplikacije simulacija
Kompleksne aplikacije	Aplikacije koje koriste web animacije
Komponenta Za Mjerenje Postignuca	Stroj Za Testiranje I Procjenu
Komponenta Za Mjerenje Postignuca	On-Line Kvizovi
Komponenta Za Ostvarivanje Komunikacija Posredstvom Racunala	Razgovorne Sobe
Komponenta Za Ostvarivanje Komunikacija Posredstvom Racunala	Sustavi Za Razmjenu Elektronske Pošte
Komponenta Za Ostvarivanje Komunikacija Posredstvom Racunala	Diskusijski Forumi
Komponenta Za Upravljanje Tecajem	Podrška I Osobnost Pristupa Razlicitim Sudionicima
Komponenta Za Upravljanje Tecajem	Postignuce Ucenika
Komponenta Za Upravljanje Tecajem	Nadzor Ucenika
Komponentarno okruženje sustava za e-ucenje	Pretraživanje sadržaja za ucenje
Komponentarno okruženje sustava za e-ucenje	Razgovorni sustav
Komponentarno okruženje sustava za e-ucenje	Kviz
Komponentarno okruženje sustava za e-ucenje	Multimedija
Komponentarno okruženje sustava za e-ucenje	Elektronska pošta
Komponente	Komponenta Za Mjerenje Postignuca
Komponente	Komponentu Za Upravljanje Tecajem
Komponente	Navigacijski Alati
Komponente	Komponenta Za Ostvarivanje Komunikacija Posredstvom Racunala
Komponente	Online komponente
Komponente	Offline komponente
Komponente Sustava E-Ucenja	Kviz Za Provjeru Znanja
Komponente Sustava E-Ucenja	Elektronska Pošta
Komponente Sustava E-Ucenja	Dijeljenje Aplikacija
Komponente Sustava E-Ucenja	Multimedija
Komponente Sustava E-Ucenja	Suradni Alati
Komponente Sustava E-Ucenja	Razgovorni Sustav
Komuniciranje	Interaktivna Komunikacija
Komuniciranje	Jednosmjerna Komunikacija
Komunikacija	Forum
Komunikacija	Poruke
Komunikacija	Chat
Komunikacija	kalendar
Komunikacija	RSS
Komunikacijska tehnologija	VPN
Komunikacijska tehnologija	LAN
Komunikacijska tehnologija	WAN
Komunikacijska tehnologija	Internet
Komunikacijska tehnologija	WLAN
Komunikacijska tehnologija	Prijenos informacija
Komunikacijski I Kolaborativni Alati	Forum
Komunikacijski I Kolaborativni Alati	Chat
Komunikacijski I Kolaborativni Alati	Pitanje
Korisnicka dogacanja	Napomena za ucenje
Korisnicko Sucelje	Moodle Blokovi
Korisnicko Sucelje	Gumb Za Izmjene
Korisnicko Sucelje	Navigacijska Traka
Korisnicko Sucelje	Zaglavlje
Korisnicko Sucelje	Izgled
Kretanje	Nastavni Sadržaj
Kvizovi	Pitanja
LCMS	Moodle
LCMS	Repozitorij podataka
Lectora	WWW
Leinonen	Razvoj E-Ucenja
Linkovi	Web Stranice
Linkovi	Web Dokumenata
Lista Nastavnika	Dodavanje Nastavnika
Lista Polaznika	Dodavanje Studenata
Litmos	Lms
Litmos	WWW
Live Online	Virtualna Ucionica
Live Online	Webinar
LMS paketi	Pracenje ocjenjivanja
LMS paketi	Komunikacija
LMS paketi	Obrazovni sadržaj
Logo	Prostor Za Rješavanje Problema
Loše strane	Nema mogucnosti za direktna pitanja
Loše strane	Sadržaj je relativno statican
Mapa	Datoteka
Memorija	Radna memorija
Memorija	Trajna memorija
Mobile & Wireless Learning Tools	Personal Media Players
Mobile & Wireless Learning Tools	Smart Phone
Mobile & Wireless Learning Tools	Tablet Pc
Mobitel	Ostvarivanje obrazovanja
Mobitel	Pristup nastavnom sadržaju za e-ucenje
Model Funkcionalnosti	Rukovoditelj Profila Ucenika
Model Funkcionalnosti	Arhivar Ucenika
Model Funkcionalnosti	Spremišta Sadržaja I Katalozi Ponude
Model Funkcionalnosti	Okruženje Isporuke Nastavnih Sadržaja
Model Funkcionalnosti	Alati Za Oblikovanje Sadržaja
Model Funkcionalnosti	Planer Ucenja
Model Funkcionalnosti	Alati Za Prikupljanje Sadržaja
Model Funkcionalnosti	Okruženje Za Suradnju
Model Funkcionalnosti	Rukovoditelj Kataloga
Modificiranje Sadržaja	Jednostavna Sintaksa
Modul	Ucenje
Moodle	Zadace I Provjere Znanja
Moodle	Upravljanje Kolegijem
Moodle	Urecivanje Kolegija I Nastavnog Plana
Moodle	Rad S Nastavnim Materijalima
Moodle	Ocjenjivanje
Moodle	Komunikacijski I Kolaborativni Alati
Moodle	Resurse
Moodle	Kolegij
Moodle	Sudionike/Aktori
Moodle	Aktivnosti
Mreža	Isporuka sadržaja
Mrežna Platforma	Blog
Mrežna Platforma	Društvena Mreža
Mrežna Platforma	Društvena Oznaka
Mrežna Platforma	RSS
Mrežna Platforma	Wiki
Mrežne Platforme	Raspodjela Sadržaja
Multimedija	Audio trake
Multimedija	Video trake
Multimedija	Interaktivna TV
Multimedija	Isporuka sadržaja
Multimedijalni Sadržaji	Audio Zapis
Multimedijalni Sadržaji	Video Zapis
Multimedijalni Sadržaji	Simulacije
Multimedijalni Sadržaji	Graficki Zapisi
Multimedijalni Sadržaji	Animacije
Multimedijalni Sadržaji	Tekstualni
Multimedijalni Sadržaji	Fotografija
Multimedijska Tehnologija	CD-ROM
Multimedijska Tehnologija	DVD
Multimedijska Tehnologija	Live Streaming
Multimedijska Tehnologija	Podcasting Tehnologija
Multimedijska Tehnologija	Video Streaming
Multimedijska Tehnologija	Voip
Naplativi Alati	Adobe Captive
Naplativi Alati	Articulate Presenter
Nastava	Nastava U Ucionici
Nastava	Online Nastava
Nastavni Sadržaj	Uvodni Dio
Nastavni Sadržaj	Primjere I Procjene
Nastavni Sadržaj	Objašnjenja
Nastavni Sadržaj	Skladan I Efikasan Modul Ucenja
Nastavni Sadržaj	Alata
Nastavni Sadržaj	Prezentacija
Nastavni Sadržaj	Eksperimenata
Nastavni Sadržaj	Programske Aplikacije
Nastavni Sadržaj	Tutora
Nastavni Sadržaj	Osoba
Nastavni Sadržaj	Vodica
Nastavni Sadržaj	Knjiga
Nastavni Sadržaj	Okruženja za izradu nastavnih sadržaja
Navigacija Po Sadržaju	Ucitelj
Navigacija Po Sadržaju	Ucenik
Navigacija Po Sadržaju	Sustav
Navigacijski Alati	Kretanje
Navigacijski Alati	Organizacija
Ne-digitalni oblik	Tekst
Ne-digitalni oblik	Ciljevi ucenja
Ne-digitalni oblik	Simulacija
Nedostatak Sinkronog Nacina Isporuke E-Ucenja	Cijena
Nedostatak Sinkronog Nacina Isporuke E-Ucenja	Povecano Radno Opterecenje
Nedostatak Sinkronog Nacina Isporuke E-Ucenja	Problem Vezan Uz Korištenje Tehnologije
Nedostatak Sinkronog Nacina Isporuke E-Ucenja	Problem Vezan Uz Tehnicku Podršku
Neformalno Ucenje	Izvan Škole
Nenaplativi Alati	Wink
Nenaplativi Alati	What2Learn
Nova Napredna Nastavna Paradigma	Svjetski Priznata Diploma
Nova Napredna Nastavna Paradigma	Ocjenjivanje
Nova Napredna Nastavna Paradigma	Fleksibilni Sadržaj
Nova Napredna Nastavna Paradigma	Prakticni Sadržaj
Nova Napredna Nastavna Paradigma	Nastavnik Kao Vodic
Nova Napredna Nastavna Paradigma	Interaktivnu Komunikaciju
Nova Napredna Nastavna Paradigma	Ucenje
Nova Napredna Nastavna Paradigma	Znanje Prema Potrebi
Nova Napredna Nastavna Paradigma	Znanje Prilagoceno Vremenu
Nova Napredna Nastavna Paradigma	Usmjereno Obrazovanje
Nova Napredna Nastavna Paradigma	Aktivno Ucenje
Nova Napredna Nastavna Paradigma	Grupno Ucenje
Nova Napredna Nastavna Paradigma	Online Nastava
Nova Tehnologija	Ucenje
Numericko ocjenjivanje	Anketa
Numericko ocjenjivanje	Zadaca
Numericko ocjenjivanje	Test
Objekt ucenja	Multimedija
Objekt ucenja	Razgovorni sustav
Objekt ucenja	Nastavni sadržaj
Objekt ucenja	Printane materijale
Objekt ucenja	Web
Objekt ucenja	CD-ROM
Objekti e-ucenja	Skup informacija
Objekti e-ucenja	Organizirati
Objekti e-ucenja	ADL model
Objekti e-ucenja	Interoperabilan
Objekti e-ucenja	Dostupan
Objekti e-ucenja	AICC model
Objekti e-ucenja	Okruženja za izradu nastavnih sadržaja
Objekti e-ucenja	Entitet
Objekti e-ucenja	Spremiti
Objekti e-ucenja	Trajan
Objekti Nastavnog Sadržaja	Multimedijalni Sadržaji
Oblik Kolegija	Tjedni Oblik
Oblik Kolegija	Tematski Oblik
Oblik Kolegija	Socijalni Oblik
Oblikovanje I Urecivanje On-Line Kvizova	Pitanja
Oblikovanje sadržaja za ucenje	Granula znanja
Oblikovanje sadržaja za ucenje	Video zapis
Oblikovanje sadržaja za ucenje	Graficki zapis
Oblikovanje sadržaja za ucenje	Audio zapis
Oblikovanje sadržaja za ucenje	Fotografija
Oblikovanje sadržaja za ucenje	Tekst
Oblikovanje sadržaja za ucenje	Simulacija
Oblikovanje sadržaja za ucenje	Animacija
Obrada podataka	Upravljanje podataka
Obrada podataka	Pohrana podataka
Obrazovanje	Nova Napredna Nastavna Paradigma
Obrazovanje	Usmjereno Obrazovanje
Obrazovanje	Opce Obrazovanje
Obrazovanje	Tradicionalna Nastavna Paradigma
Obrazovanje	Internet
Obrazovanje	Racunalo s multimedijom
Obrazovanje	Poucavanje
Obrazovanje	Ucenje
Obrazovni Sadržaj	Ucenike
Ocjenjivanje	Pregled Ocjena
Ocjenjivanje	Skala Ocjenjivanja
Ocjenjivanje	Numericko ocjenjivanje
Ocjenjivanje	Opisno ocjenjivanje
Offline komponente	Grafike
Offline komponente	Isprintani dokumenti
Offline komponente	Vježbe na racunalu
Okruženja za izradu nastavnih sadržaja	LCMS
Okruženje	Promjena Osobnih Podataka
Okruženje	Pomoc Korisnicima
Okruženje	Upravljanje Blokovima
Okruženje	Prijava Na Sustav
Okruženje	Korisnicko Sucelje
Okruženje Isporuke Nastavnih Sadržaja	ASinkroni Nacin Isporuke Isporuke
Okruženje Isporuke Nastavnih Sadržaja	Sinkroni Nacin Isporuke Isporuke
Okruženje Isporuke Nastavnih Sadržaja	Stroj Za Testiranje I Procjenu
Okruženje Isporuke Nastavnih Sadržaja	Okruženje Za Suradnju
Okruženje Isporuke Nastavnih Sadržaja	Arhivar Ucenika
Okruženje Isporuke Nastavnih Sadržaja	Rukovoditelj Profila Ucenika
Okruženje Isporuke Nastavnih Sadržaja	Planer Ucenja
Okruženje Isporuke Nastavnih Sadržaja	Navigacija Po Sadržaju
Okruženje Isporuke Nastavnih Sadržaja	Nastavni Sadržaj
Okruženje Isporuke Nastavnih Sadržaja	Komponente Sustava E-Ucenja
Okruženje Isporuke Nastavnih Sadržaja	Sinkroni Nacin Isporuke
Okruženje Isporuke Nastavnih Sadržaja	ASinkroni Nacin Isporuke
Okruženje Za Suradnju	Virtualna Ucionica Ucionica
Okviri e-ucenja	dimenzije
Online komponente	Online predavanja
Online komponente	Dokumenti u PDF formatu
Online komponente	Formati
Online komponente	Web aplikacije
On-Line Kvizovi	Ocjenu
On-Line Kvizovi	Pitanja Postavljena Temeljem Slucajnog Izbora
On-Line Kvizovi	Pitanja Sastavljena Po Predlošcima
On-line podrška	suvislo okruženje
On-line podrška	interaktivnost
Online predavanja	Grafike
Online predavanja	Dodatni materijali
Online predavanja	Teksta
On-Line Ucenje	Upotreba Mrežne Tehnologije
On-Line Ucenje	Ucenje na daljinu
Opce Obrazovanje	Opce Znanje
Opisno ocjenjivanje	Diskusija
Organizirati	Repozitorij podataka
Osnovne vrste objekata	Ocjenjivanje
Osnovne vrste objekata	Suradnja
Osnovne vrste objekata	Komunikacija
Osnovne vrste objekata	Spremanje
Osnovni Element Strukture Sustava E-Ucenja	Autorski Alati
Osnovni Element Strukture Sustava E-Ucenja	Navigacijski Alati
Osnovni Element Strukture Sustava E-Ucenja	Komponenta Za Upravljanje Tecajem
Osnovni Element Strukture Sustava E-Ucenja	Komponenta Za Mjerenje Postignuca
Osnovni Element Strukture Sustava E-Ucenja	Komponenta Za Ostvarivanje Komunikacija Posredstvom Racunala
Osnovni sadržaj lekcije	Nastavni Sadržaj
Osoba	Ucitelj
Ostali Oblici Nastavnog Sadržaja	Prezentacija
Ostali Oblici Nastavnog Sadržaja	Knjiga
Ostali Oblici Nastavnog Sadržaja	Eksperimenata
Ostali Oblici Nastavnog Sadržaja	Alata
Ostali Oblici Nastavnog Sadržaja	Vodica
Ostali Oblici Nastavnog Sadržaja	Programske Aplikacije
Ostali Oblici Nastavnog Sadržaja	Tutora
Ostali Oblici Nastavnog Sadržaja	Osoba
Oznake	Obrazovni sadržaj
Oznake	Pretraga
Oznake	Kategorizacija
Oznake	Objašnjenje
PDA	Pristup nastavnom sadržaju za e-ucenje
PDA	Digitalno ucenje
PDA	Ostvarivanje obrazovanja
pedagogija	analiza medija
pedagogija	analiza sadržaja
pedagogija	ucenje i poucavanje
pedagogija	analiza cilja
Personal Media Players	Ipod-Mp3 Audio
Personal Media Players	Video Ipod
Pet R pravih uvjeta	Isporucenost na pravo mjesto
Pet R pravih uvjeta	Pravi nacin
Pet R pravih uvjeta	Pravo vrijeme
Pet R pravih uvjeta	Pravi posao
Pet R pravih uvjeta	Prave vještine
Phone Konferencija	Multimedijska Tehnologija
Phone Konferencija	Voip
Phone Konferencija	Realno Vrijeme
Pitanja	Slucajnim Izborom
Pitanja	Odgovor S Višestrukim Izborom
Pitanja	Odgovor Sa Da Ili Ne
Pitanja	Odgovor S Popunjavanjem Nedostajucih Rijeci
Plan tecaja	Ponuda razlicitih struktura ucenicima
Plan tecaja	Plan ucenja
Podcasting Tehnologija	Personal Media Players
Podrška I Osobnost Pristupa Razlicitim Sudionicima	Ucenik
Podrška I Osobnost Pristupa Razlicitim Sudionicima	Ucitelje
Ponovno upotrebljivi objekt ucenja	Sadržajna komponenta
Posebni Programi	Internet Stranice
Posebni Programi	Obavijesti
poslovanje	bitne informacije
poslovanje	okruženje
Pospremanje sadržaja za ucenje	Granula znanja
Postavke Kolegija	Naziv I Kraticu Kolegija
Postavke Kolegija	Kategoriju Kolegija
Postavke Kolegija	Opis Kolegija
Postojece Sadržaje	Ponovno Upotrijebiti
Poucavanje	Mentorstvo
Poucavanje	Poducavanje
Poucavanje	Tradicionalno Nacelo Ucenja
Poucavanje	Ucenje na svakom mjestu
Poucavanje	Scenarij ucenja koji istice individualnost
Poucavanje	Ucenje u svako vrijeme
Poveznica	Datoteka
Poveznica	Web stranica
Prakticni Sadržaj	Znanje Prema Potrebi
Predložak	Prezentaciji
Predložak	Strukturi
Predložak	Metoda Za Oblikovanje Nastave
Predložak	Nastavni Sadržaj
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Evidentiranja
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Globalnog Povezivanja
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Kontinuiranog Nadgledanja
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Otklanjanja Pogreške
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Prilagocavanja Tecaja
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucnost Suradnje Mecu Polaznicima
Prednost Sinkronog Nacina Isporuke E-Ucenja	Mogucost Pracenja Nastave
Pregled Korisnika	Popis Korisnika
Pregled Ocjena	Po Skupinama
Pregled Ocjena	Pojedinacno
Pretraživanje sadržaja za ucenje	Granula znanja
Prijava Na Sustav	Lozinka
Prijava Na Sustav	Korisnicko Ime
Prikljucak	Paralelni prikljucak
Prikljucak	USB prikljucak
Prikljucak	Serijski prikljucak
Prikupljanje i upotreba znanja	Racunala
Prikupljanje i upotreba znanja	Mreže
Prikupljanje sadržaja za ucenje	Granula znanja
Prikupljanje Zadaca	Link Na Zadace
Primjena Icta U Ucenju I Poucavanju	Ucenje Bilo Gdje
Primjena Icta U Ucenju I Poucavanju	Ucenje Bilo Kad
Primjene i procesi	Ucenje temeljeno na Webu
Primjene i procesi	Prividni razredi
Primjene i procesi	Digitalno suracivanje
Primjene i procesi	Ucenje temeljeno na racunalu
Primjene i procesi	Digitalno ucenje
Prividna Ucionica	Daljinsko Ucenje
procjenjivanje	ucenik
procjenjivanje	okruženje
procjenjivanje	nastava
Profesori	Osnovne vrste objekata
Profil	Aktivnosti Ucenika
Profil	Status O Ponucenom Sadržaju
Profil ucenika	Osobni podaci
Profil ucenika	Plan ucenja
Profil ucenika	Status u participaciji aktivnog ucenja
Profil ucenika	Povijest ucenja
Profil ucenika	Procjene o postignutom znanju
Programiranje	Ponavljanje
Programiranje	Vježbanje
Programiranje1	Resurse
Programiranje2	Resurse
Programska Aplikacija	Compact Disc
Programska Aplikacija	WWW
Programska Aplikacija	Multimedijalni Sadržaji
Programska Aplikacija	Multimedijalni Sadržaji
Programska podrška	Operativni sustav
Programska podrška	Aplikacijski softver
Promjena Osobnih Podataka	Profil Korisnika
Racunalna Mreža	Internet
Racunalna Mreža	Intranet
Racunalo	Isporuka sadržaja
Racunalo	Digitalno ucenje
Racunalo	Pristup nastavnom sadržaju za e-ucenje
Racunalo	Ostvarivanje obrazovanja
Racunalo	Sklopovlje
Racunalo	Programska podrška
Racunalo	Obrada informacija
Racunalo	Zaštita informacija
Racunalo	Prijenos informacija
Racunalo	Pohrana informacija
Racunalo	Prikupljanje informacija
Racunalo s multimedijom	Animacija
Racunalo s multimedijom	Video prikaz
Rad S Nastavnim Materijalima	Izrada Lekcija
Rad S Nastavnim Materijalima	Dodavanje Resursa
Radna memorija	Upravljanje podataka
Rapid Intake	Litmos
Raspoloživi mediji	Internet
Raspoloživi mediji	Mreže
Raspoloživi mediji	CD 
Raspoloživi mediji	DVD
Raspoloživi mediji	Racunala
Raspoloživi mediji	Multimedija
Razgovorne Sobe	Sudionike/Akteri
Razliciti Nazivi	Vježbanje Utemeljeno Na Internetu
Razliciti Nazivi	Web Utemeljena Nastava
Razliciti Nazivi	Web Utemeljeno Ucenje
Razliciti Nazivi	Web Utemeljeno Vježbanje
Razliciti primjeri	Nastavni Sadržaj
Razvoj E-Ucenja	Društvene Programske Podrške
Razvoj E-Ucenja	E-Ucenje
Razvoj E-Ucenja	Internet Obrazovanje
Razvoj E-Ucenja	Obrazovanje Racunalima
